"Species","Trap","Year","Distance","Cover"
"Acaena novae-zelandiae",1,2018,"1m",0
"Acaena novae-zelandiae",1,2018,"5m",0
"Acaena novae-zelandiae",1,2018,"10m",0
"Acaena novae-zelandiae",1,2018,"15m",0
"Acetosella vulgaris",1,2018,"1m",0
"Acetosella vulgaris",1,2018,"5m",1
"Acetosella vulgaris",1,2018,"10m",1
"Acetosella vulgaris",1,2018,"15m",1
"Agrostis capillaris",1,2018,"1m",0
"Agrostis capillaris",1,2018,"5m",0
"Agrostis capillaris",1,2018,"10m",0
"Agrostis capillaris",1,2018,"15m",0
"Agrostis venusta",1,2018,"1m",0
"Agrostis venusta",1,2018,"5m",1
"Agrostis venusta",1,2018,"10m",1
"Agrostis venusta",1,2018,"15m",1
"Argyrotegium fordianum",1,2018,"1m",0
"Argyrotegium fordianum",1,2018,"5m",0
"Argyrotegium fordianum",1,2018,"10m",0
"Argyrotegium fordianum",1,2018,"15m",0
"Asperula gunnii",1,2018,"1m",0
"Asperula gunnii",1,2018,"5m",0
"Asperula gunnii",1,2018,"10m",0
"Asperula gunnii",1,2018,"15m",0
"Asterolasia trymalioides",1,2018,"1m",0
"Asterolasia trymalioides",1,2018,"5m",0
"Asterolasia trymalioides",1,2018,"10m",0
"Asterolasia trymalioides",1,2018,"15m",0
"Bossiaea foliosa",1,2018,"1m",0
"Bossiaea foliosa",1,2018,"5m",0
"Bossiaea foliosa",1,2018,"10m",0
"Bossiaea foliosa",1,2018,"15m",0
"Brachyscome decipiens",1,2018,"1m",0
"Brachyscome decipiens",1,2018,"5m",1
"Brachyscome decipiens",1,2018,"10m",1
"Brachyscome decipiens",1,2018,"15m",1
"Brachyscome spathulata",1,2018,"1m",0
"Brachyscome spathulata",1,2018,"5m",0
"Brachyscome spathulata",1,2018,"10m",0
"Brachyscome spathulata",1,2018,"15m",0
"Bulbine glauca",1,2018,"1m",0
"Bulbine glauca",1,2018,"5m",0
"Bulbine glauca",1,2018,"10m",0
"Bulbine glauca",1,2018,"15m",0
"Carex breviculmis",1,2018,"1m",0
"Carex breviculmis",1,2018,"5m",0
"Carex breviculmis",1,2018,"10m",0
"Carex breviculmis",1,2018,"15m",0
"Carex hebes",1,2018,"1m",1
"Carex hebes",1,2018,"5m",1
"Carex hebes",1,2018,"10m",1
"Carex hebes",1,2018,"15m",1
"Celmisia costiniana",1,2018,"1m",1
"Celmisia costiniana",1,2018,"5m",1
"Celmisia costiniana",1,2018,"10m",1
"Celmisia costiniana",1,2018,"15m",1
"Colobanthus affinis",1,2018,"1m",0
"Colobanthus affinis",1,2018,"5m",0
"Colobanthus affinis",1,2018,"10m",0
"Colobanthus affinis",1,2018,"15m",0
"Craspedia aurantia",1,2018,"1m",0
"Craspedia aurantia",1,2018,"5m",0
"Craspedia aurantia",1,2018,"10m",1
"Craspedia aurantia",1,2018,"15m",0
"Craspedia gracilis",1,2018,"1m",0
"Craspedia gracilis",1,2018,"5m",0
"Craspedia gracilis",1,2018,"10m",0
"Craspedia gracilis",1,2018,"15m",0
"Pappochroma bellidioides",1,2018,"1m",1
"Pappochroma bellidioides",1,2018,"5m",1
"Pappochroma bellidioides",1,2018,"10m",1
"Pappochroma bellidioides",1,2018,"15m",1
"Erigeron nitidus (nitidius)",1,2018,"1m",0
"Erigeron nitidus (nitidius)",1,2018,"5m",0
"Erigeron nitidus (nitidius)",1,2018,"10m",0
"Erigeron nitidus (nitidius)",1,2018,"15m",0
"Eucalyptus pauciflora",1,2018,"1m",0
"Eucalyptus pauciflora",1,2018,"5m",0
"Eucalyptus pauciflora",1,2018,"10m",0
"Eucalyptus pauciflora",1,2018,"15m",0
"Geranium",1,2018,"1m",0
"Geranium",1,2018,"5m",0
"Geranium",1,2018,"10m",0
"Geranium",1,2018,"15m",0
"Gonocarpus montanus",1,2018,"1m",0
"Gonocarpus montanus",1,2018,"5m",0
"Gonocarpus montanus",1,2018,"10m",0
"Gonocarpus montanus",1,2018,"15m",0
"Grevillea australis",1,2018,"1m",0
"Grevillea australis",1,2018,"5m",0
"Grevillea australis",1,2018,"10m",1
"Grevillea australis",1,2018,"15m",1
"Helichrysum rutidolepis",1,2018,"1m",0
"Helichrysum rutidolepis",1,2018,"5m",1
"Helichrysum rutidolepis",1,2018,"10m",1
"Helichrysum rutidolepis",1,2018,"15m",0
"Hovea montana",1,2018,"1m",0
"Hovea montana",1,2018,"5m",0
"Hovea montana",1,2018,"10m",0
"Hovea montana",1,2018,"15m",0
"Hypochaeris radicata",1,2018,"1m",1
"Hypochaeris radicata",1,2018,"5m",1
"Hypochaeris radicata",1,2018,"10m",1
"Hypochaeris radicata",1,2018,"15m",1
"Leptorhynchos squamatus",1,2018,"1m",1
"Leptorhynchos squamatus",1,2018,"5m",1
"Leptorhynchos squamatus",1,2018,"10m",1
"Leptorhynchos squamatus",1,2018,"15m",1
"Leucopogon montanus",1,2018,"1m",0
"Leucopogon montanus",1,2018,"5m",1
