Year,Species,Trap_Number ,Trap_possition ,Date,Collection_Sample
2018,Agrostis venusta,1,t,14-Feb-18,4
2018,Agrostis venusta,1,t,14-Feb-18,4
2018,Argyrotegium fordianum,8,b,1-Feb-18,1
2018,Argyrotegium fordianum,8,b,1-Feb-18,1
2018,Argyrotegium fordianum,8,b,11-Feb-18,3
2018,Argyrotegium fordianum,8,b,11-Feb-18,3
2018,Argyrotegium fordianum,1,t,14-Feb-18,4
2018,Argyrotegium fordianum,1,b,14-Feb-18,4
2018,Argyrotegium fordianum,8,b,14-Feb-18,4
2018,Argyrotegium fordianum,4,b,19-Feb-18,5
2018,Argyrotegium fordianum,4,b,19-Feb-18,5
2018,Argyrotegium fordianum,6,t,19-Feb-18,5
2018,Argyrotegium fordianum,2,t,28-Feb-18,7
2018,Argyrotegium fordianum,2,b,28-Feb-18,7
2018,Argyrotegium fordianum,7,t,28-Feb-18,7
2018,Argyrotegium fordianum,7,b,28-Feb-18,7
2018,Argyrotegium fordianum,8,t,28-Feb-18,7
2018,Celmisia costiniana,2,b,6-Feb-18,2
2018,Celmisia costiniana,2,b,6-Feb-18,2
2018,Celmisia costiniana,2,b,6-Feb-18,2
2018,Celmisia costiniana,1,b,11-Feb-18,3
2018,Celmisia costiniana,1,b,11-Feb-18,3
2018,Celmisia costiniana,1,t,14-Feb-18,4
2018,Celmisia costiniana,1,b,14-Feb-18,4
2018,Celmisia costiniana,1,b,14-Feb-18,4
2018,Celmisia costiniana,1,b,14-Feb-18,4
2018,Celmisia costiniana,1,b,14-Feb-18,4
2018,Celmisia costiniana,1,b,14-Feb-18,4
2018,Celmisia costiniana,2,b,14-Feb-18,4
2018,Celmisia costiniana,3,t,14-Feb-18,4
2018,Celmisia costiniana,3,b,14-Feb-18,4
2018,Celmisia costiniana,3,b,14-Feb-18,4
2018,Celmisia costiniana,1,t,19-Feb-18,5
2018,Celmisia costiniana,1,t,28-Feb-18,7
2018,Celmisia costiniana,3,t,28-Feb-18,7
2018,Cirsium vulgare,4,t,1-Feb-18,1
2018,Colobanthus affinis,2,b,1-Feb-18,1
2018,Colobanthus affinis,2,b,1-Feb-18,1
2018,Colobanthus affinis,2,b,1-Feb-18,1
2018,Colobanthus affinis,2,b,1-Feb-18,1
2018,Colobanthus affinis,2,b,1-Feb-18,1
2018,Colobanthus affinis,2,b,1-Feb-18,1
2018,Colobanthus affinis,2,b,1-Feb-18,1
2018,Craspedia aurantia,1,b,1-Feb-18,1
2018,Craspedia aurantia,1,b,1-Feb-18,1
2018,Craspedia aurantia,3,b,6-Feb-18,2
2018,Craspedia aurantia,4,b,19-Feb-18,5
2018,Craspedia aurantia,5,b,28-Feb-18,7
2018,Pappochroma bellidioides,1,t,28-Feb-18,7
2018,Pappochroma bellidioides,1,t,28-Feb-18,7
2018,Hypochaeris radicata,2,t,6-Feb-18,2
2018,Leptorhynchos squamatus,5,t,11-Feb-18,3
2018,Olearia frostii,6,b,28-Feb-18,7
2018,Plantago euryphylla,2,b,11-Feb-18,3
2018,Plantago euryphylla,1,b,23-Feb-18,6
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,1,b,28-Feb-18,7
2018,Plantago euryphylla,2,b,28-Feb-18,7
2018,Plantago euryphylla,2,b,28-Feb-18,7
2018,Plantago euryphylla,2,b,28-Feb-18,7
2018,Plantago euryphylla,2,b,28-Feb-18,7
2018,Plantago euryphylla,2,b,28-Feb-18,7
