Year,Species,Trap_Number,Trap_position,Collection_Sample
2018,Agrostis venusta,1,t,2
2018,Argyrotegium fordianum,1,b,1
2018,Argyrotegium fordianum,1,t,1
2018,Argyrotegium fordianum,2,b,1
2018,Argyrotegium fordianum,2,t,1
2018,Argyrotegium fordianum,4,b,2
2018,Argyrotegium fordianum,6,t,1
2018,Argyrotegium fordianum,7,b,1
2018,Argyrotegium fordianum,7,t,1
2018,Argyrotegium fordianum,8,b,5
2018,Argyrotegium fordianum,8,t,1
2018,Celmisia costiniana,1,b,7
2018,Celmisia costiniana,1,t,3
2018,Celmisia costiniana,2,b,4
2018,Celmisia costiniana,3,b,2
2018,Celmisia costiniana,3,t,2
2018,Cirsium vulgare,4,t,1
2018,Colobanthus affinis,1,b,2
2018,Colobanthus affinis,2,b,7
2018,Craspedia aurantia,3,b,1
2018,Craspedia aurantia,4,b,1
2018,Craspedia aurantia,5,b,1
2018,Pappochroma bellidioides,1,t,3
2018,Hypochaeris radicata,2,t,1
2018,Leptorhynchos squamatus,5,t,1
2018,Olearia frostii,6,b,1
2018,Plantago euryphylla,1,b,14
2018,Plantago euryphylla,2,b,6
2018,Plantago euryphylla,3,b,1
2018,Poa hiemata,1,b,3
2018,Poa hiemata,2,b,5
2018,Poa hiemata,2,t,1
2018,Poa hiemata,4,b,3
2018,Poa hiemata,4,t,3
2018,Poa hiemata,5,t,1
2018,Poa hiemata,6,b,3
2018,Poa hiemata,7,b,1
2018,Poa hiemata,7,t,1
2018,Poa hothamensis,1,b,1
2018,Poa hothamensis,2,b,1
2018,Poa hothamensis,4,b,13
2018,Poa hothamensis,8,b,1
2018,Poa hothamensis,8,t,5
2018,Rytidosperma nudiflorum,1,b,2
2018,Rytidosperma nudiflorum,2,b,1
2018,Rytidosperma nudiflorum,2,t,1
2018,Rytidosperma nudiflorum,7,b,3
2018,Rytidosperma nudiflorum,8,b,4
2018,Senecio pinnatifolius,1,b,3
2018,Viola betonicifolia,1,b,4
2018,Viola betonicifolia,1,t,1
2018,Viola betonicifolia,2,b,1
2018,Viola betonicifolia,2,t,1
2018,Unknown GRASS SEED,4,b,1
2018,Unknown GRASS SEED,6,t,1
2018,UNKNOWN pea seed,2,b,1
2021,Celmisia costiniana,1,b,1
2021,Hypochaeris radicata,1,b,1
2021,Rytidosperma nudiflorum,1,b,3
2021,Celmisia costiniana,2,t,3
2021,Craspedia aurantia,2,t,1
2021,Pappochroma bellidioides,2,t,2
2021,Poa hiemata,2,t,3
2021,Celmisia costiniana,2,b,6
2021,Craspedia aurantia,2,b,1
2021,Pappochroma bellidioides,2,b,5
2021,Rytidosperma nudiflorum,2,b,12
2021,Scleranthus biflorus,2,b,2
2021,Unknown seed,2,b,2
2021,Pappochroma bellidioides,3,t,1
2021,Celmisia costiniana,3,b,5
2021,Hovea montana,3,b,4
2021,Poa hiemata,3,b,1
2021,Viola betonicifolia,3,b,1
2021,Carex hebes,4,t,1
2021,Hypochaeris radicata,4,t,1
2021,Rytidosperma nudiflorum,4,t,1
2021,Scleranthus biflorus,4,t,1
2021,Craspedia aurantia,4,b,3
2021,Rytidosperma nudiflorum,4,b,1
2021,Prasophyllum sp.,5,t,10
2021,Poa hiemata,5,b,2
2021,Olearia brevipedunculata,6,t,1
2021,Argyrotegium fordianum,7,t,2
2021,Craspedia aurantia,7,t,1
2021,Pappochroma bellidioides,7,t,1
2021,Poa hiemata,7,t,1
2021,Rytidosperma nudiflorum,7,t,2
2021,Argyrotegium fordianum,7,b,1
2021,Craspedia aurantia,7,b,1
2021,Rytidosperma nudiflorum,7,b,1
2021,Trisetum spicatum,7,b,1
2021,Craspedia aurantia,8,t,1
2021,Rytidosperma nudiflorum,8,t,1
2021,Craspedia aurantia,8,b,4
2021,Rytidosperma nudiflorum,8,b,1
2021,Unknown seed,8,b,1
