Speed m/s,Height above Ground (cm),Wind,Vertical,Horizontal
0.11,10,Vertical,0.00,0.11
0.56,10,Vertical,0.10,0.56
1.17,10,Vertical,0.00,1.17
0.08,10,Vertical,0.00,0.08
0.36,10,Vertical,0.00,0.36
0.89,10,Vertical,0.01,0.89
0.25,10,Vertical,0.01,0.25
1.11,10,Vertical,0.23,1.11
1.33,10,Vertical,0.01,1.33
1.42,10,Vertical,0.00,1.42
0.67,10,Vertical,0.00,0.67
1.31,10,Vertical,0.00,1.31
1.58,10,Vertical,0.01,1.58
0.92,10,Vertical,0.05,0.92
1.11,10,Vertical,0.00,1.11
1.08,10,Vertical,0.02,1.08
1.42,10,Vertical,0.30,1.42
0.00,10,Vertical,0.00,0.00
1.25,10,Vertical,0.00,1.25
1.06,10,Vertical,0.02,1.06
0.94,20,Vertical,0.01,0.94
1.06,20,Vertical,0.10,1.06
2.25,20,Vertical,0.10,2.25
0.28,20,Vertical,0.10,0.28
0.53,20,Vertical,0.08,0.53
0.58,20,Vertical,0.11,0.58
1.31,20,Vertical,0.24,1.31
0.17,20,Vertical,0.14,0.17
1.53,20,Vertical,0.18,1.53
1.72,20,Vertical,0.03,1.72
1.31,20,Vertical,0.55,1.31
2.17,20,Vertical,0.11,2.17
1.19,20,Vertical,0.40,1.19
2.00,20,Vertical,0.67,2.00
1.39,20,Vertical,0.23,1.39
1.44,20,Vertical,0.20,1.44
2.03,20,Vertical,0.47,2.03
0.36,20,Vertical,0.03,0.36
1.22,20,Vertical,0.18,1.22
1.47,20,Vertical,0.21,1.47
0.86,30,Vertical,0.00,0.86
2.83,30,Vertical,0.52,2.83
2.22,30,Vertical,0.10,2.22
0.22,30,Vertical,0.00,0.22
0.31,30,Vertical,0.05,0.31
0.58,30,Vertical,0.06,0.58
1.42,30,Vertical,0.03,1.42
1.67,30,Vertical,0.70,1.67
1.75,30,Vertical,0.05,1.75
2.31,30,Vertical,0.90,2.31
2.33,30,Vertical,0.30,2.33
3.00,30,Vertical,0.31,3.00
2.53,30,Vertical,1.33,2.53
1.94,30,Vertical,0.42,1.94
1.78,30,Vertical,0.15,1.78
1.94,30,Vertical,0.34,1.94
2.28,30,Vertical,0.91,2.28
1.31,30,Vertical,0.18,1.31
1.58,30,Vertical,1.34,1.58
1.50,30,Vertical,0.03,1.50
0.92,40,Vertical,0.00,0.92
3.39,40,Vertical,0.29,3.39
2.44,40,Vertical,0.54,2.44
0.64,40,Vertical,0.01,0.64
0.56,40,Vertical,0.08,0.56
0.56,40,Vertical,0.00,0.56
1.33,40,Vertical,0.02,1.33
0.14,40,Vertical,0.00,0.14
2.14,40,Vertical,0.07,2.14
2.14,40,Vertical,0.19,2.14
2.31,40,Vertical,0.25,2.31
2.28,40,Vertical,0.21,2.28
2.97,40,Vertical,1.19,2.97
2.36,40,Vertical,0.95,2.36
2.31,40,Vertical,1.00,2.31
2.69,40,Vertical,1.42,2.69
2.69,40,Vertical,1.00,2.69
0.17,40,Vertical,0.01,0.17
2.17,40,Vertical,1.27,2.17
3.78,40,Vertical,1.78,3.78
1.25,50,Vertical,0.00,1.25
2.47,50,Vertical,0.16,2.47
2.25,50,Vertical,0.06,2.25
0.39,50,Vertical,0.10,0.39
1.14,50,Vertical,0.07,1.14
0.44,50,Vertical,0.00,0.44
1.69,50,Vertical,0.02,1.69
2.44,50,Vertical,0.02,2.44
1.64,50,Vertical,0.84,1.64
2.78,50,Vertical,0.25,2.78
